"respondentid","RCa10","WA01_c","WA02_c","WA03_c","WA04_c","WA07_c","WB01_c","WB04_c","WB05_c","WC03_c","WC04_c","WC05_c","WC06_c","WD01_c","WD02_c","WE01_c","WFa01_c","WFa02_c","WFa03_c","WFb02_c","WFc01_c","WFC02_c","WG01_c","WG02_c","WHb01_c","WHc01_c","WHc02_c","WHd01_c","RD01_c","ABo04_c","ABo05_c","ABo06_c","ABo07_c","ABo08_c","ABo09_c","ABo10_c","ABo11_c","ABo12_c","ABo13_c","ABo14_c","ABo15_c","CA02_c","CBa01_c","CBa02_c","CBb01_c","CCa02_c","CDa05_c","CDb01_c","CDd01_c","CDd04_c","CEa01_c","CFb01_c","EB01_c","EC01_c","ED01_c","EE01_c","KB01_c","KF03_c","MA01_c","MA04_c","MB01_c","MB02_c","MB03_c","SB01_c","SB02_c"
10603805,"Don't know","male",18,"some high school, no diploma","$150,000 or more",NA,"working part time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","no one in household has served",3,0,"never married",NA,"ohio (oh)","urban","yes",1,NA,"no",NA,NA,"did not vote for president","very liberal",6,7,8,5,NA,NA,5,3,5,NA,"no",NA,"somewhat better","same","cut taxes","increase competition","strongly favor","keep troops until stable government","strongly oppose","somewhat oppose","not permitted except for rape, incest, or life risk","more important to keep economy growing","none",0,4,"several hours per day",7,NA,"democrat","moderate","some of the time","strongly disagree","somewhat disagree",NA,NA
10603893,"No","female",52,"associate's or two-year college degree","$15,000 to less than $25,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","protestant","no one in household has served",1,0,"never married",NA,"alabama (al)","suburban","yes",1,NA,"no",NA,NA,"bush","don't know",7,7,4,4,NA,NA,7,5,4,NA,"no",NA,"somewhat better","somewhat better","keep taxes as they are","no answer","somewhat oppose","set withdrawal deadline","no answer","no answer","not permitted except for rape, incest, or life risk","more important to keep economy growing","none",0,0,"at least once per week",1,NA,"democrat","somewhat conservative","some of the time","somewhat disagree","somewhat disagree",NA,NA
10603918,"No","male",67,"graduate or professional school after college, no degree","no answer",NA,"working part time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","other type of christian","no one in household has served",2,0,"married",NA,"north dakota (nd)","urban","yes",1,NA,"yes","no",NA,"bush","very liberal",0,0,0,0,NA,NA,0,0,0,NA,"no",NA,"same","same","cut taxes","increase regulation","somewhat oppose","keep troops until stable government","strongly favor","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","five hours",7,0,"at least once per week",4,NA,"republican","very conservative","some of the time","somewhat agree","somewhat disagree",NA,NA
10603949,"Yes","female",65,"some high school, no diploma","don't know",NA,"permanently disabled",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","protestant","yes, other household member",3,0,"married",NA,"montana (mt)","urban","no",1,"heterosexual or straight","no",NA,NA,"kerry","moderate",10,10,10,10,NA,NA,10,10,10,NA,"no",NA,"somewhat better","somewhat better","cut taxes","increase regulation","strongly oppose","withdraw as soon as possible","strongly favor","strongly favor","available to anyone","more important to keep economy growing","two hours but less than three",0,0,NA,2,NA,"democrat","moderate","never","strongly agree","strongly agree",NA,NA
10604071,"Yes","female",21,"some college, no degree","$15,000 to less than $25,000",NA,"student",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","no denomination","no one in household has served",2,0,"never married",NA,"pennsylvania (pa)","suburban","yes",1,NA,"no",NA,NA,"don't know","somewhat liberal",10,8,7,8,NA,NA,7,8,8,NA,"no",NA,"somewhat better","much better","cut taxes","increase competition","somewhat favor","set withdrawal deadline","somewhat favor","somewhat favor","available to anyone","environment should be top priority","none",0,4,"almost every day",2,NA,"democrat","somewhat liberal","never","somewhat agree","strongly agree",NA,NA
10604082,NA,"male",61,"graduate or professional school after college, no degree","$100,000 to less than $150,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"never","catholic","no one in household has served",2,0,"married",NA,"new york (ny)","suburban","yes",1,NA,"no",NA,NA,"bush","somewhat liberal",8,9,5,6,NA,NA,9,998,8,NA,"no",NA,"much better","somewhat better","cut taxes","increase competition","somewhat oppose","set withdrawal deadline","strongly favor","somewhat favor","available with stricter limits","more important to keep economy growing","three hours but less than four",4,7,"almost every day",7,NA,"independent","somewhat conservative","some of the time","somewhat agree","somewhat agree",NA,NA
10604509,"No","male",58,"graduate or professional degree","$15,000 to less than $25,000",NA,"working part time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","catholic","no one in household has served",1,0,"divorced",NA,"illinois (il)","urban","yes",1,"heterosexual or straight","no",NA,NA,"bush","very liberal",0,0,0,0,NA,NA,0,0,0,NA,"no",NA,"same","same","cut taxes","increase competition","strongly oppose","keep troops until stable government","somewhat favor","don't know","available with stricter limits","more important to keep economy growing","none",7,7,"several hours per day",0,NA,"independent","moderate","never","strongly disagree","strongly agree",NA,NA
10604711,NA,"female",85,"four-year college degree","$75,000 to less than $100,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","yes, other household member",2,0,"married",NA,"georgia (ga)","urban","yes",1,"heterosexual or straight","no",NA,NA,"bush","don't know",0,998,0,0,NA,NA,0,0,0,NA,"yes",NA,"somewhat better","same","keep taxes as they are","increase competition","strongly oppose","withdraw as soon as possible","strongly oppose","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","two hours but less than three",0,0,"at least once per week",7,NA,"independent","very conservative","some of the time","strongly disagree","strongly disagree",NA,NA
10604717,"Yes","female",38,"some college, no degree","$50,000 to less than $75,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","no one in household has served",2,2,"married",NA,"new jersey (nj)","suburban","yes",1,NA,"no",NA,NA,"bush","somewhat conservative",8,8,8,8,NA,NA,6,8,8,NA,"no",NA,"somewhat better","much better","cut taxes","increase regulation","strongly favor","withdraw as soon as possible","somewhat favor","strongly favor","available with stricter limits","environment should be top priority","none",0,1,"at least once per week",2,NA,"democrat","somewhat liberal","some of the time","somewhat disagree","strongly disagree",NA,NA
10604765,"No","female",69,"some college, no degree","$15,000 to less than $25,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","protestant","yes, other household member",2,0,"married",NA,"kansas (ks)","suburban","no",1,NA,"yes","no",NA,"bush","very liberal",0,0,0,0,NA,NA,1,0,0,NA,"yes",NA,"somewhat worse","same","don't know","increase competition","somewhat oppose","keep troops until stable government","don't know","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","less than one hour",0,0,NA,7,NA,"republican","very conservative","some of the time","somewhat disagree","somewhat disagree",NA,NA
10604916,"No","female",55,"graduate or professional school after college, no degree","$150,000 or more",NA,"homemaker",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","catholic","no one in household has served",1,1,"married",NA,"connecticut (ct)","suburban","yes",1,"heterosexual or straight","no",NA,NA,"bush","very liberal",6,6,3,5,NA,NA,9,6,5,NA,"yes",NA,"same","same","keep taxes as they are","increase competition","strongly oppose","keep troops until stable government","somewhat favor","somewhat oppose","not permitted except for rape, incest, or life risk","more important to keep economy growing","less than one hour",7,7,"almost every day",7,NA,"independent","somewhat conservative","some of the time","strongly disagree","strongly disagree",NA,NA
10604959,"No","female",54,"graduate or professional degree","$75,000 to less than $100,000",NA,"permanently disabled",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","protestant","yes, other household member",1,0,"divorced",NA,"iowa (ia)","urban","yes",1,NA,"no",NA,NA,"bush","somewhat liberal",6,7,6,6,NA,NA,8,7,3,NA,"no",NA,"much worse","somewhat worse","cut taxes","increase regulation","strongly oppose","withdraw as soon as possible","strongly oppose","strongly oppose","available to anyone","environment should be top priority","one hour but less than two",0,1,"rarely",7,NA,"republican","somewhat liberal","some of the time","somewhat disagree","somewhat agree",NA,NA
10605053,"No","female",59,"technical or vocational school after high school","$15,000 to less than $25,000",NA,"working full time","self-employed","no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","no one in household has served",2,0,"divorced",NA,"florida (fl)","suburban","yes",1,"heterosexual or straight","no",NA,NA,"bush","very liberal",0,4,0,0,NA,NA,3,0,0,NA,"no",NA,"same","same","none of these","increase competition","somewhat oppose","keep troops until stable government","don't know","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","five hours",0,7,"at least once per week",5,NA,"republican","somewhat conservative","some of the time","somewhat agree","somewhat agree",NA,NA
10605102,"Yes","female",45,"graduate or professional school after college, no degree","$50,000 to less than $75,000",NA,"working full time","self-employed","yes, respondent","white or white hispanic","yes",NA,NA,"few times a year","jewish","no one in household has served",2,1,"married",NA,"new york (ny)","urban","yes",1,"heterosexual or straight","no",NA,NA,"bush","somewhat liberal",10,10,8,10,NA,NA,10,8,9,NA,"no",NA,"somewhat better","somewhat better","raise taxes if necessary","increase regulation","strongly favor","set withdrawal deadline","strongly oppose","somewhat oppose","none of these","environment should be top priority","none",0,7,"several hours per day",7,NA,"democrat","very liberal","some of the time","strongly disagree","strongly disagree",NA,NA
10605235,"No","female",55,"graduate or professional degree","$150,000 or more",NA,"working full time","self-employed","no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","no one in household has served",2,0,"married",NA,"oregon (or)","urban","yes",2,NA,"yes","yes",NA,"bush","very liberal",1,998,1,1,NA,NA,3,3,1,NA,"no",NA,"somewhat better","same","cut taxes","neither","strongly oppose","keep troops until stable government","strongly oppose","strongly favor","available with stricter limits","more important to keep economy growing","two hours but less than three",3,1,"almost every day",7,NA,"republican","somewhat conservative","some of the time","strongly disagree","strongly disagree",NA,NA
10605375,"Yes","male",37,"graduate or professional degree","$75,000 to less than $100,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","no religion / atheist / agnostic","no one in household has served",3,1,"married",NA,"texas (tx)","urban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",10,9,5,9,NA,NA,9,10,9,NA,"no",NA,"same","same","cut taxes","increase regulation","strongly favor","set withdrawal deadline","strongly oppose","strongly oppose","available to anyone","environment should be top priority","two hours but less than three",0,0,"several hours per day",7,NA,"democrat","moderate","some of the time","strongly disagree","somewhat agree",NA,NA
10606399,"No","male",70,"graduate or professional school after college, no degree","don't know",NA,"working full time","work for someone else","no union members in household","white or white hispanic","no","yes",40,"never","don't know","no one in household has served",70,0,"married",NA,"texas (tx)","urban","yes",1,"heterosexual or straight","yes","no",NA,"bush","very liberal",2,3,2,2,NA,NA,3,2,3,NA,"yes",NA,"somewhat better","same","keep taxes as they are","don't know","somewhat favor","keep troops until stable government","somewhat favor","don't know","available to anyone","environment should be top priority","two hours but less than three",0,5,"several hours per day",2,NA,"republican","moderate","some of the time","somewhat agree","somewhat agree",NA,NA
10606495,NA,"female",74,"some high school, no diploma","$10,000 to less than $15,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","no denomination","no one in household has served",1,0,"widowed",NA,"oregon (or)","urban","yes",1,NA,"yes","no",NA,"bush","moderate",998,5,998,5,NA,NA,998,998,998,NA,"no",NA,"same","same","cut taxes","don't know","strongly oppose","withdraw as soon as possible","strongly oppose","strongly favor","not permitted except for rape, incest, or life risk","environment should be top priority","two hours but less than three",0,0,"almost every day",0,NA,"independent","don't know","some of the time","strongly agree","strongly agree",NA,NA
10606857,NA,"male",36,"some college, no degree","$100,000 to less than $150,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once or twice a month","no denomination","no one in household has served",2,3,"married",NA,"illinois (il)","suburban","yes",1,NA,"yes","no",NA,"don't know","very liberal",0,0,0,0,NA,NA,5,0,0,NA,"no",NA,"somewhat better","much better","cut taxes","increase competition","strongly oppose","don't know","strongly oppose","strongly favor","available to anyone","more important to keep economy growing","none",0,0,"at least once per week",0,NA,"republican","moderate","never","strongly disagree","strongly agree",NA,NA
10606978,"Yes","male",77,"graduate or professional degree","$75,000 to less than $100,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once or twice a month","no denomination","yes, respondent",2,0,"married",NA,"indiana (in)","rural","yes",1,"heterosexual or straight","yes","no",NA,"kerry","very liberal",5,10,10,10,NA,NA,10,8,10,NA,"no",NA,"much better","same","raise taxes if necessary","increase regulation","strongly favor","withdraw as soon as possible","somewhat oppose","strongly oppose","available to anyone","both equally","five hours",0,7,"never",2,NA,"democrat","very liberal","always","strongly disagree","strongly agree",NA,NA
10606990,"No","male",46,"some high school, no diploma","$15,000 to less than $25,000",NA,"permanently disabled",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",2,0,"divorced",NA,"georgia (ga)","rural","yes",3,"heterosexual or straight","no",NA,NA,"did not vote for president","moderate",10,998,998,7,NA,NA,998,10,998,NA,"no",NA,"somewhat worse","same","keep taxes as they are","increase competition","strongly favor","withdraw as soon as possible","strongly oppose","strongly oppose","not permitted except for rape, incest, or life risk","environment should be top priority","none",0,1,"almost every day",3,NA,"independent","very conservative","most of the time","somewhat agree","strongly agree",NA,NA
10607157,NA,"female",59,"some high school, no diploma","no answer",NA,"working part time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","no denomination","no one in household has served",1,0,"widowed",NA,"michigan (mi)","urban","no",1,NA,"no",NA,NA,"kerry","no answer",999,999,999,999,NA,NA,999,999,999,NA,"no answer",NA,"somewhat worse","somewhat worse","cut taxes","increase regulation","somewhat favor","withdraw as soon as possible","strongly favor","strongly favor","available to anyone","more important to keep economy growing","four hours but less than five",0,3,NA,1,NA,"democrat","moderate","some of the time","somewhat agree","somewhat disagree",NA,NA
10607196,"No","male",53,"some college, no degree","no answer",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","no denomination","no one in household has served",1,1,"married",NA,"north carolina (nc)","urban","yes",1,NA,"yes","no",NA,"bush","moderate",5,0,0,5,NA,NA,0,0,0,NA,"yes",NA,"much worse","somewhat worse","none of these","increase competition","strongly oppose","set withdrawal deadline","strongly favor","strongly favor","none of these","environment should be top priority","five hours",0,0,"at least once per week",0,NA,"republican","somewhat conservative","never","strongly agree","strongly agree",NA,NA
10607439,NA,"male",54,"graduate or professional degree","$75,000 to less than $100,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","no denomination","yes, respondent",2,0,"married",NA,"florida (fl)","urban","yes",1,NA,"no",NA,NA,"no answer","somewhat liberal",2,6,0,0,NA,NA,5,3,0,NA,"no",NA,"same","same","none of these","increase competition","strongly oppose","keep troops until stable government","somewhat favor","somewhat oppose","available with stricter limits","environment should be top priority","one hour but less than two",7,7,"several hours per day",7,NA,"independent","no answer","never","strongly disagree","somewhat agree",NA,NA
10607440,NA,"female",999,"some college, no degree","$35,000 to less than $50,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","no one in household has served",1,2,"widowed",NA,"new york (ny)","suburban","yes",1,NA,"no",NA,NA,"kerry","moderate",7,5,5,7,NA,NA,10,8,6,NA,"no",NA,"much worse","much better","keep taxes as they are","increase competition","strongly favor","keep troops until stable government","somewhat favor","somewhat oppose","not permitted except for rape, incest, or life risk","more important to keep economy growing","two hours but less than three",0,2,"several hours per day",3,NA,"independent","moderate","never","somewhat agree","strongly agree",NA,NA
10607875,"No","male",47,"associate's or two-year college degree","$35,000 to less than $50,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",1,1,"divorced",NA,"alabama (al)","rural","yes",1,NA,"yes","no",NA,"bush","moderate",5,6,5,6,NA,NA,5,4,5,NA,"no",NA,"somewhat better","somewhat better","keep taxes as they are","increase regulation","somewhat favor","set withdrawal deadline","strongly oppose","strongly favor","not permitted under any circumstances","more important to keep economy growing","none",0,0,"several hours per day",0,NA,"republican","very conservative","some of the time","somewhat agree","strongly agree",NA,NA
10608396,"No","male",50,"associate's or two-year college degree","$150,000 or more",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","catholic","yes, respondent",1,4,"married",NA,"california (ca)","urban","yes",1,"heterosexual or straight","yes","yes",NA,"bush","very liberal",998,998,2,2,NA,NA,5,2,2,NA,"no",NA,"somewhat better","somewhat worse","keep taxes as they are","increase competition","strongly oppose","keep troops until stable government","somewhat oppose","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","one hour but less than two",7,0,"several hours per day",2,NA,"republican","moderate","some of the time","somewhat agree","somewhat agree",NA,NA
10608898,"No","female",42,"some college, no degree","$150,000 or more",NA,"homemaker",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","protestant","yes, other household member",3,2,"married",NA,"virginia (va)","suburban","yes",1,NA,"yes","no",NA,"bush","very liberal",0,0,0,0,NA,NA,0,0,1,NA,"yes",NA,"somewhat better","same","keep taxes as they are","increase competition","strongly oppose","keep troops until stable government","somewhat favor","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","none",2,4,"almost every day",6,NA,"republican","very conservative","some of the time","somewhat disagree","strongly disagree",NA,NA
10608943,NA,"female",63,"some college, no degree","$35,000 to less than $50,000",NA,"working part time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","no denomination","no one in household has served",1,0,"married",NA,"arkansas (ar)","suburban","yes",1,"heterosexual or straight","yes","no answer",NA,"other","somewhat conservative",3,5,6,6,NA,NA,5,4,3,NA,"no",NA,"much better","same","raise taxes if necessary","neither","don't know","set withdrawal deadline","don't know","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","two hours but less than three",7,1,"at least once per week",7,NA,"independent","moderate","some of the time","somewhat disagree","strongly agree",NA,NA
10609053,"Yes","female",80,"some college, no degree","$15,000 to less than $25,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","catholic","no one in household has served",1,0,"widowed",NA,"new york (ny)","urban","no",1,NA,"no",NA,NA,"kerry","very liberal",10,10,9,10,NA,NA,10,10,8,NA,"no",NA,"much worse","much worse","none of these","increase regulation","strongly favor","set withdrawal deadline","strongly oppose","strongly favor","available to anyone","more important to keep economy growing","two hours but less than three",0,3,NA,7,NA,"democrat","moderate","never","strongly disagree","somewhat disagree",NA,NA
10609056,"Yes","female",55,"high school diploma or equivalent","$100,000 to less than $150,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",1,0,"married",NA,"north carolina (nc)","suburban","yes",1,NA,"yes","no",NA,"don't know","somewhat liberal",9,9,9,9,NA,NA,9,9,9,NA,"no",NA,"somewhat better","somewhat worse","cut taxes","increase competition","somewhat favor","withdraw as soon as possible","don't know","strongly favor","not permitted except for rape, incest, or life risk","neither","none",0,1,"at least once per week",7,NA,"independent","moderate","never","strongly agree","strongly agree",NA,NA
10609157,"No","female",63,"high school diploma or equivalent","$25,000 to less than $35,000",NA,"working part time","self-employed","no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","yes, other household member",2,0,"married",NA,"minnesota (mn)","rural","no",1,NA,"yes","no",NA,"bush","very liberal",0,0,1,0,NA,NA,1,1,2,NA,"no",NA,"much worse","somewhat worse","cut taxes","increase regulation","somewhat favor","keep troops until stable government","strongly oppose","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","three hours but less than four",0,7,NA,7,NA,"independent","moderate","some of the time","somewhat agree","somewhat agree",NA,NA
10609500,NA,"male",53,"some college, no degree","$150,000 or more",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","jewish","no one in household has served",4,0,"married",NA,"massachusetts (ma)","urban","yes",1,NA,"no",NA,NA,"kerry","very liberal",7,3,3,7,NA,NA,4,6,4,NA,"no",NA,"much better","much better","keep taxes as they are","increase competition","strongly favor","withdraw as soon as possible","somewhat oppose","somewhat favor","available to anyone","environment should be top priority","two hours but less than three",3,0,"almost every day",0,NA,"democrat","moderate","some of the time","strongly disagree","somewhat agree",NA,NA
10609646,"Don't know","female",50,"high school diploma or equivalent","don't know",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","protestant","no one in household has served",1,0,"widowed",NA,"california (ca)","suburban","yes",1,NA,"no",NA,NA,"kerry","very conservative",6,7,6,2,NA,NA,3,4,6,NA,"don't know",NA,"much worse","same","cut taxes","increase regulation","strongly oppose","withdraw as soon as possible","somewhat favor","strongly oppose","available with stricter limits","environment should be top priority","none",0,2,"several hours per day",0,NA,"democrat","very liberal","never","strongly disagree","strongly disagree",NA,NA
